City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hasaki,35.7333,140.8333,31.22,78,100,3.61,JP,1694846487
1,tiksi,71.6872,128.8694,2.32,67,100,7.57,RU,1694846487
2,silver city,32.7701,-108.2803,19.27,53,0,3.6,US,1694846488
3,san ignacio,17.1561,-89.0714,25.08,94,0,0.0,BZ,1694846488
4,invercargill,-46.4,168.35,12.79,78,88,4.02,NZ,1694846488
5,yellowknife,62.456,-114.3525,12.45,84,40,3.6,CA,1694846488
6,vorgashor,67.5833,63.95,8.53,58,42,4.26,RU,1694846489
7,georgetown,5.4112,100.3354,31.97,66,20,4.63,MY,1694846489
8,ilorin,8.5,4.55,23.2,100,20,2.57,NG,1694846489
9,port-aux-francais,-49.35,70.2167,5.64,92,90,15.24,TF,1694846489
10,edinburgh of the seven seas,-37.0676,-12.3116,15.0,88,77,13.25,SH,1694846489
11,caleta de carquin,-11.0925,-77.6267,18.17,87,87,2.66,PE,1694846490
12,waitangi,-43.9535,-176.5597,9.9,80,91,3.13,NZ,1694846490
13,ciudad lazaro cardenas,17.9583,-102.2,26.08,87,100,2.28,MX,1694846439
14,enewetak,11.3474,162.3373,29.25,77,9,7.17,MH,1694846490
15,micheweni,-4.9667,39.8333,27.22,67,96,3.56,TZ,1694846490
16,oranjemund,-28.55,16.4333,13.36,71,100,6.26,NA,1694846491
17,zhezqazghan,47.7833,67.7667,18.32,42,20,4.0,KZ,1694846491
18,longyearbyen,78.2186,15.6401,-0.09,80,100,2.57,SJ,1694846491
19,isafjordur,66.0755,-23.124,6.44,82,100,3.51,IS,1694846491
20,margaret river,-33.95,115.0667,15.57,73,100,3.01,AU,1694846491
21,tamanrasset,22.785,5.5228,23.95,22,0,2.57,DZ,1694846492
22,madison,34.7334,-86.5667,21.89,87,100,2.06,US,1694846492
23,talnakh,69.4865,88.3972,2.34,100,100,1.79,RU,1694846492
24,villa gesell,-37.2639,-56.973,13.92,75,96,3.71,AR,1694846202
25,la passe,45.5549,-0.8967,19.13,90,67,3.73,FR,1694846493
26,west island,-12.1568,96.8225,27.99,69,54,7.72,CC,1694846493
27,cabedelo,-6.9811,-34.8339,23.37,80,99,4.92,BR,1694846493
28,port alfred,-33.5906,26.891,15.66,47,7,5.36,ZA,1694846493
29,hermanus,-34.4187,19.2345,10.45,64,100,12.21,ZA,1694846494
30,novoishimskiy,53.1981,66.7694,18.1,47,96,2.12,KZ,1694846494
31,lionel town,17.8101,-77.2406,28.94,84,32,2.2,JM,1694846494
32,olonkinbyen,70.9221,-8.7187,2.38,68,12,4.71,SJ,1694846494
33,albany,42.6001,-73.9662,13.77,78,100,2.66,US,1694846396
34,hithadhoo,-0.6,73.0833,28.35,76,11,7.09,MV,1694846495
35,sabinanigo,42.5192,-0.3661,15.13,91,83,1.34,ES,1694846495
36,ribeira grande,38.5167,-28.7,19.87,63,20,5.14,PT,1694846495
37,isangel,-19.55,169.2667,25.06,78,75,0.0,VU,1694846267
38,sandnessjoen,66.0217,12.6316,9.29,90,100,11.11,NO,1694846496
39,puerto gaitan,4.3133,-72.0816,24.46,82,94,2.65,CO,1694846496
40,poronaysk,49.2167,143.1167,16.32,54,0,2.56,RU,1694846496
41,grytviken,-54.2811,-36.5092,-0.18,94,100,6.03,GS,1694846496
42,okha,53.5739,142.9478,12.14,60,9,9.63,RU,1694846496
43,holualoa,19.6228,-155.9522,23.77,91,49,0.89,US,1694846426
44,astrakhan,46.3497,48.0408,19.95,64,0,4.02,RU,1694846497
45,hawaiian paradise park,19.5933,-154.9731,23.73,96,100,2.57,US,1694846497
46,fort st. john,56.2499,-120.8529,13.94,41,0,2.06,CA,1694846497
47,port douglas,-16.4833,145.4667,23.2,66,9,7.28,AU,1694846498
48,calca,-13.3333,-71.95,11.57,81,73,1.9,PE,1694846498
49,ushuaia,-54.8,-68.3,0.81,93,75,3.6,AR,1694846498
50,bredasdorp,-34.5322,20.0403,12.21,58,85,10.45,ZA,1694846498
51,cabo san lucas,22.8909,-109.9124,28.12,74,0,1.97,MX,1694845938
52,ormara,25.2088,64.6357,27.05,82,99,6.38,PK,1694846499
53,punta arenas,-53.15,-70.9167,1.06,80,40,2.57,CL,1694846499
54,bethel,41.3712,-73.414,16.12,75,0,2.57,US,1694846499
55,alofi,-19.0595,-169.9187,21.94,83,58,2.06,NU,1694846499
56,chui,-33.6971,-53.4616,11.47,82,92,4.57,UY,1694846500
57,puerto ayora,-0.7393,-90.3518,23.08,91,85,1.79,EC,1694846500
58,bilibino,68.0546,166.4372,2.84,99,100,0.37,RU,1694846500
59,namibe,-15.1961,12.1522,19.48,86,64,3.02,AO,1694846500
60,whitehorse,60.7161,-135.0538,7.43,61,0,4.63,CA,1694846370
61,papatowai,-46.5619,169.4708,13.69,65,96,9.53,NZ,1694846501
62,puerto natales,-51.7236,-72.4875,-1.46,90,30,2.29,CL,1694846303
63,buncrana,55.1333,-7.45,10.87,87,100,3.6,IE,1694846501
64,saldanha,-33.0117,17.9442,12.03,60,100,7.21,ZA,1694846501
65,afaahiti,-17.75,-149.2833,22.93,82,86,8.97,PF,1694846501
